統計5-27 暴走族の勢力と動向の推移（令和2年～令和6年）,,,,,,,,
,,,,,,,,
,,,年次,令和2,3,4,5,6
区分　,,,,,,,,
共同危険型,グループ数（グループ）,,,113,110,99,111,116
,総人員,,,"4,505","4,679","4,581","4,579","4,483"
,,うちグループ未加入者（%）,,"3,658","3,756","3,730","3,541","3,258"
,,,,-81.2,-80.3,-81.4,-77.3,-72.7
,,うち女性（人）,,197,232,221,251,271
,い集・走行回数（回）,,,"1,769","1,511","1,731","2,163","2,528"
,参加人員（人）,,,"14,888","14,648","15,085","17,049","19,972"
違法競走型,総人員（人）,,,"1,209","1,159","1,189","1,271","1,397"
,い集・走行回数（回）,,,261,235,362,350,323
,参加車両台数（台）,,,"2,218","2,600","1,840","3,924","3,948"
注：括弧内は、総人員に占めるグループ未加入者の比率（％）である。,,,,,,,,
